Transcription-Units,Promoter,Absolute-Plus-1-Position,Binds-Sigma-Factor,Genes,Gene left,Gene right,Transcription-Direction
TU102,PM324,1486214,RPOD-MONOMER,EG10035,1486256,1487695,+
TU00142,PM00194,357997,RPOD-MONOMER,EG10176 // EG10175 // EG10177,358023 // 358713 // 359216,358682 // 359183 // 360370,+
TU00159,PM00219,4345371,RPOD-MONOMER,EG10357,4343703,4345349,-
TU0-6583,PM0-6883,3279911,RPOD-MONOMER,G7636 // G7635 // EG12770 // EG12769 // EG12768 // G7634,3284292 // 3283500 // 3282707 // 3282192 // 3281165 // 3279998,3285047 // 3284291 // 3283510 // 3282668 // 3282025 // 3281152,+
TU0-14405,PM0-9566,,RPOD-MONOMER,EG11551,2833195,2835447,-
TU344,PM195,4638531,RPOD-MONOMER,EG10061,4637613,4638329,-
TU0-6650,PM00398,2091384,RPOD-MONOMER,EG10451 // EG10448 // EG10444 // EG10450 // EG10445,2094638 // 2093868 // 2093149 // 2092559 // 2091492,2095249 // 2094644 // 2093886 // 2093149 // 2092559,+
TU00191,PM00267,3150097,RPOD-MONOMER,EG10583,3150258,3151445,+
TU0-14463,PM0-9707,701088,RPOD-MONOMER,EG10636,699597,700817,-
TU00207,PM00291,2135607,RPOD-MONOMER,G7103 // G7104 // G7105 // G7106 // G7107,2130091 // 2130582 // 2131514 // 2133679 // 2134128,2130579 // 2131421 // 2133676 // 2134122 // 2135267,-
TU0-14486,PM0-9739,4033379,RPOD-MONOMER,EG30070 // EG30077 // EG30008 // EG30043 // EG30084,4038540 // 4035542 // 4035283 // 4035164 // 4033554,4038659 // 4038446 // 4035358 // 4035240 // 4035095,+
TU00224,PM00308,3056478,RPOD-MONOMER,EG10944,3055200,3056432,-
TU593,PM00465,3881905,RPOD-MONOMER,EG10828 // EG10242 // EG10235,3878171 // 3879244 // 3880349,3879244 // 3880344 // 3881752,-
TU00240,PM0-8541,902992,RPOD-MONOMER,EG11627 // EG11626 // EG11625 // EG11624,900089 // 900757 // 901480 // 902229,900757 // 901473 // 902211 // 902957,-
TU0-7581,PM0-7961,65803,RPOD-MONOMER,EG10747,63429,65780,-
TU0-41901,PM0-45158,1994921,RPOD-MONOMER,EG10935,1994134,1994856,-
TU7,PM7,1461533,RPOD-MONOMER,G6721 // G6720,1462495 // 1461563,1463085 // 1462513,+
TU00256,PM00413,2597806,RPOD-MONOMER,EG10658 // EG10205,2595853 // 2596904,2596887 // 2597782,-
TU792,PM163,2520585,RPOD-MONOMER,EG11146,2519615,2520499,-
TU00273,PM-8783,1130216,RPOD-MONOMER,G358 // G359 // G360 // G361 // G362 // G363 // G364 // G365 // G366,1130241 // 1130661 // 1131077 // 1131797 // 1133025 // 1133952 // 1134787 // 1135497 // 1136594,1130657 // 1131065 // 1131772 // 1133005 // 1133780 // 1134734 // 1135485 // 1136594 // 1137535,+
TU0-8001,PM0-8381,845854,RPOD-MONOMER,EG10389,844964,845686,-
TU0-42467,PM0-46166,1994881,RPOD-MONOMER,EG10935,1994134,1994856,-
TU0-14574,PM0-9881,3320612,RPOD-MONOMER,EG30050 // EG12095,3320094 // 3320195,3320180 // 3320527,-
TU00289,PM197,3144385,RPOD-MONOMER,G7554 // EG11805 // EG11804 // EG11803 // EG11802 // EG11801 // EG11800 // EG11799,3143165 // 3137738 // 3137999 // 3138333 // 3138814 // 3139308 // 3141008 // 3142176,3144283 // 3137986 // 3138340 // 3138821 // 3139308 // 3141011 // 3142186 // 3143162,-
TU0-14621,PM0-10017,1120243,RPOD-MONOMER,G6557,1119924,1120178,-
TU0-13725,PM0-10544,2882341,RPOD-MONOMER,G7430 // G7429 // G7428 // G7427 // G7426 // G7425 // EG12845,2880652 // 2880177 // 2879073 // 2878396 // 2877810 // 2876877 // 2876591,2882160 // 2880659 // 2880164 // 2879070 // 2878409 // 2877794 // 2876875,-
TU0-12947,PM0-9608,490534,RPOD-MONOMER,EG10051,490636,491187,+
TU0-42514,PM00117,3886434,RPOD-MONOMER,EG11276,3886458,3886532,+
TU00345,PM0-9963,189712,RPOD-MONOMER,G0-8895 // EG10901 // EG11033,189712 // 189874 // 190857,189847 // 190599 // 191708,+
TU0-8347,PM0-8728,4349708,RPOD-MONOMER,G7826 // G7827,4347338 // 4348054,4348057 // 4349685,-
TU0-4284,PM0-4524,57156,RPOD-MONOMER,EG11569,54755,57109,-
TU00379,PM00354,954037,RPOD-MONOMER,EG10701 // EG11258,950495 // 952832,952777 // 953689,-
TU0-965,PM0-1125,4118429,RPOD-MONOMER,EG11879 // EG11880,4116868 // 4117446,4117353 // 4118372,-
TU0-8476,PM00672,3316397,RPOD-MONOMER,EG30061,3316235,3316311,-
TU00016,PM00023,3989022,RPOD-MONOMER,EG10170,3989176,3991722,+
TU00415,PM00563,1999843,RPOD-MONOMER,G7039 // EG11356 // EG11355,1997609 // 1998497 // 1999094,1998409 // 1999048 // 1999813,-
TU0-13832,PM0-10415,3166675,RPOD-MONOMER,G7572 // G7571,3166270 // 3165873,3166566 // 3166268,-
TU00032,PM00040,3851046,RPOD-MONOMER,EG10502 // EG10494 // EG11275,3848825 // 3849119 // 3850913,3849115 // 3850807 // 3851011,-
TU0-13056,PM0-44629,841376,RPOD-MONOMER,G6415,841019,841279,-
TU00048,PM00064,1019414,RPOD-MONOMER,EG10669,1018236,1019276,-
TU00449,PM00338,431469,RPOD-MONOMER,EG11035,430353,431237,-
TU00064,PM00089,4098782,RPOD-MONOMER,EG10953,4098833,4099453,+
TU0-13088,PM0-9538,969865,RPOD-MONOMER,EG10519 // G6472,970075 // 969896,970821 // 970078,+
TU0-1781,PM0-1961,1257765,RPOD-MONOMER,EG11404 // EG10785,1255944 // 1257152,1257035 // 1257736,-
TU00467,PM00622,4358129,RPOD-MONOMER,EG10131 // EG10132,4354493 // 4356720,4356640 // 4358054,-
TU0-13105,PM0-9395,1030666,RPOD-MONOMER,EG11113,1029982,1030641,-
TU-8394,PM-8777,3167823,RPOD-MONOMER,EG12658 // G7575,3168506 // 3167850,3169855 // 3168509,+
TU00096,PM00137,3651959,RPOD-MONOMER,EG11889 // EG11890,3652706 // 3651984,3653236 // 3652550,+
TU0-13121,PM0-44722,1099475,RPOD-MONOMER,G6542,1099519,1100010,+
TU0-2442,PM0-2622,4465302,RPOD-MONOMER,EG12202,4464322,4465269,-
TU00499,PM00651,2060276,RPOD-MONOMER,EG30022,2060284,2060359,+
TU00113,PM00154,3925054,RPOD-MONOMER,EG10093,3924568,3925026,-
TU0-6407,PM00369,1339894,RPOD-MONOMER,EG11128 // EG10809,1340682 // 1339945,1341008 // 1340682,+
TU0-2701,PM0-2881,2069341,RPOD-MONOMER,G0-8905 // G7080,2069341 // 2069563,2069535 // 2072682,+
TU00515,PM00670,2816719,RPOD-MONOMER,EG30013 // EG30019 // EG30018 // EG30015 // EG30095,2815806 // 2816081 // 2816220 // 2816495 // 2816575,2815882 // 2816157 // 2816296 // 2816571 // 2816667,-
TU00129,PM00173,3103673,RPOD-MONOMER,EG10664,3103736,3104992,+
TU0-6486,PM00597,921899,RPOD-MONOMER,EG11111,921589,921813,-
TU0-1143,PM0-1303,2714545,RPOD-MONOMER,EG11784,2714088,2714471,-
TU00146,PM00198,2874390,RPOD-MONOMER,EG10185 // EG10194 // EG10186,2871409 // 2872014 // 2873443,2872014 // 2873441 // 2874351,-
TU0-6551,PM329,2518806,RPOD-MONOMER,EG10407,2517279,2518694,-
TU0-14388,PM186,3399151,RPOD-MONOMER,EG10608,3398066,3399109,-
TU00162,PM00222,1785185,RPOD-MONOMER,EG10759,1782758,1785136,-
TU0-14408,PM0-9570,331097,RPOD-MONOMER,EG11236,331595,332683,+
TU347,PM202,4638622,RPOD-MONOMER,EG10061,4637613,4638329,-
TU00178,PM00249,148,RPOD-MONOMER,EG11277 // EG10998 // EG10999 // EG11000,190 // 337 // 2801 // 3734,255 // 2799 // 3733 // 5020,+
TU0-6653,PM00419,2735601,RPOD-MONOMER,EG10707 // EG11271,2735767 // 2735621,2736927 // 2735668,+
TU00194,PM00273,2708379,RPOD-MONOMER,EG10631,2708442,2710064,+
TU0-3721,PM0-3921,4285618,RPOD-MONOMER,EG11942 // EG11943 // EG11448,4281276 // 4282922 // 4283436,4282925 // 4283236 // 4285394,-
TU489,PM589,460556,RPOD-MONOMER,EG10467,460675,460947,+
TU0-7044,PM00351,812375,RPOD-MONOMER,EG11062,812749,814770,+
TU544,PM334,1386868,RPOD-MONOMER,G6660,1386329,1386835,-
TU00227,PM00313,1932737,RPOD-MONOMER,EG10256 // EG10257,1930139 // 1930817,1930780 // 1932628,-
TU00243,PM00473,3920548,RPOD-MONOMER,EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099 // EG10106,3913576 // 3914016 // 3915425 // 3916339 // 3917893 // 3918441 // 3918973 // 3919259 // 3920083,3913995 // 3915398 // 3916288 // 3917880 // 3918426 // 3918911 // 3919212 // 3920074 // 3920463,-
TU0-7603,PM0-7983,533131,RPOD-MONOMER,G6283 // G6282 // G6281 // G6280 // G6278 // G6277 // EG11583,541112 // 539789 // 538371 // 536857 // 535810 // 534934 // 533140,542257 // 541090 // 539732 // 538311 // 536688 // 535710 // 534921,+
TU0-12879,PM0-44426,310021,RPOD-MONOMER,G6164,309308,309895,-
TU0-4201,PM00367,1262899,RPOD-MONOMER,EG12424 // EG10761 // EG10427,1265317 // 1264235 // 1262937,1266150 // 1265317 // 1264193,+
TU704,PM00422,2802621,RPOD-MONOMER,EG10773 // EG10772 // EG10771,2805154 // 2804032 // 2802837,2806146 // 2805096 // 2804039,+
TU00276,PM164,2017608,RPOD-MONOMER,EG10322 // EG10323 // EG10324 // EG11224 // EG11975 // EG11976 // EG11977,2017642 // 2018111 // 2019112 // 2019528 // 2019893 // 2020640 // 2020917,2018106 // 2019115 // 2019525 // 2019893 // 2020630 // 2020909 // 2021702,+
TU0-13308,PM0-9401,1621903,RPOD-MONOMER,EG11643,1620984,1621874,-
TU0-42471,PM0-46171,4221528,RPOD-MONOMER,EG10587,4221851,4225534,+
TU873,PM174,3517189,RPOD-MONOMER,EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081,3510656 // 3511653 // 3512404 // 3513099 // 3514042 // 3515420 // 3516565,3511660 // 3512411 // 3513081 // 3513935 // 3515328 // 3516508 // 3517086,-
TU00293,PM0-7506,3806539,RPOD-MONOMER,EG10520 // EG11190,3806563 // 3807848,3807840 // 3808327,+
TU0-8182,PM0-8562,1725825,RPOD-MONOMER,G6891,1725861,1726268,+
TU00311,PM0-8873,3316197,RPOD-MONOMER,EG11179 // EG10505 // EG10665,3315576 // 3311364 // 3314061,3316028 // 3314036 // 3315548,-
TU0-881,PM0-1041,2974591,RPOD-MONOMER,EG10364,2974621,2975652,+
TU0-42517,PM00475,3948313,RPOD-MONOMER,EG11270,3948345,3948443,+
TU0-13359,PM0-10434,1732381,RPOD-MONOMER,G6892,1732459,1733274,+
TU0-14688,PM0-10222,849432,RPOD-MONOMER,EG12117,849673,850188,+
TU00003,PM00004,70241,RPOD-MONOMER,EG10054,70387,71265,+
TU0-8479,PM0-8915,582790,RPOD-MONOMER,EG10050,582904,583653,+
TU0-4521,PM0-4761,3576841,RPOD-MONOMER,EG12630,3575754,3576749,-
TU00019,PM00026,940046,RPOD-MONOMER,EG10232 // EG10233 // EG10234,940182 // 942637 // 943256,942626 // 943254 // 944119,+
TU0-4761,PM0-5001,2922546,RPOD-MONOMER,G0-8785,2922178,2922546,-
TU0-13444,PM0-45142,1958025,RPOD-MONOMER,EG10071,1958086,1959819,+
TU00035,PM00044,728072,RPOD-MONOMER,G0-10439 // EG10515 // EG10514 // EG10513,727955 // 723630 // 724211 // 726282,728044 // 724202 // 726259 // 727955,-
TU0-4961,PM0-5201,4549357,RPOD-MONOMER,EG12563,4547976,4549319,-
TU00435,PM00583,3208757,RPOD-MONOMER,EG10920 // EG10239 // EG10896,3208803 // 3209129 // 3211069,3209018 // 3210874 // 3212910,+
TU0-14273,PM0-9364,1144096,RPOD-MONOMER,EG10859,1140405,1143590,-
TU00067,PM00094,1321132,RPOD-MONOMER,EG11024 // EG11025 // EG11026 // EG11027 // EG11028 // EG11274,1314440 // 1315246 // 1316451 // 1317813 // 1319408 // 1321062,1315246 // 1316439 // 1317809 // 1319408 // 1320970 // 1321106,-
TU0-1802,PM0-1983,1365969,RPOD-MONOMER,EG12344,1364959,1365936,-
TU00083,PM00088,3598872,RPOD-MONOMER,EG10897,3597952,3598806,-
TU0-2042,PM0-2222,141263,RPOD-MONOMER,EG10369,138835,141225,-
TU00486,PM00636,2021860,RPOD-MONOMER,EG10820,2021992,2022615,+
TU00099,PM00140,411753,RPOD-MONOMER,EG10060,410521,411705,-
TU0-6043,PM0-4202,621476,RPOD-MONOMER,EG11104,621523,622773,+
TU00502,PM00657,3213619,RPOD-MONOMER,EG30046,3213620,3213695,+
TU00116,PM00157,328645,RPOD-MONOMER,EG10112,328687,330720,+
TU0-2708,PM00487,4126489,RPOD-MONOMER,EG10588,4126101,4126418,-
TU00518,PM00673,3320300,RPOD-MONOMER,EG30050,3320094,3320180,-
TU00132,PM00177,1697337,RPOD-MONOMER,EG10563 // EG10564,1697379 // 1698981,1698971 // 1700153,+
TU0-3163,PM0-3343,770591,RPOD-MONOMER,EG10174 // EG10173,772265 // 770681,773404 // 772249,+
TU141,PM338,34218,RPOD-MONOMER,G6088,34300,34695,+
TU00149,PM00201,2475768,RPOD-MONOMER,EG13161,2474716,2475651,-
TU0-6554,PM00446,3488873,RPOD-MONOMER,EG10682,3488288,3488851,-
TU0-1222,PM0-1382,4373590,RPOD-MONOMER,EG12099,4373722,4374288,+
TU0-14392,PM0-9545,1489530,RPOD-MONOMER,G0-10592,1489467,1489530,-
TU0-13973,PM0-9605,3698159,RPOD-MONOMER,G0-9042,3698159,3698222,+
TU00165,PM00227,621457,RPOD-MONOMER,EG10295 // EG10298 // EG10296,618607 // 619419 // 620408,619422 // 620411 // 621412,-
TU0-6629,PM169,996786,RPOD-MONOMER,EG12358 // G6476 // G6477 // G6478 // G6479,992500 // 993264 // 994066 // 995208 // 996160,993267 // 994055 // 995211 // 996167 // 996735,-
TU0-36403,PM0-36143,2313997,RPOD-MONOMER,EG10821,2314199,2314849,+
TU354,PM435,4638704,RPOD-MONOMER,EG10061,4637613,4638329,-
TU00181,PM00252,931551,RPOD-MONOMER,EG10547,931818,932312,+
TU0-36426,PM0-36202,3469605,RPOD-MONOMER,EG11036,3468167,3469351,-
TU00197,PM00278,354108,RPOD-MONOMER,EG11327 // EG11326,354146 // 355395,355405 // 356678,+
TU0-3841,PM0-4081,63358,RPOD-MONOMER,EG12609 // EG11083,59687 // 60358,60346 // 63264,-
TU5,PM5,1451889,RPOD-MONOMER,G6719 // G6718 // G6717 // G6716 // G6715 // G6714 // G6713 // G6712 // G6711 // G6710 // G6709,1460149 // 1458917 // 1458495 // 1457078 // 1456288 // 1455521 // 1454454 // 1453949 // 1453188 // 1452892 // 1451951,1461462 // 1460122 // 1458917 // 1458505 // 1457076 // 1456288 // 1455524 // 1454446 // 1453934 // 1453179 // 1452880,+
TU00213,PM00299,4464233,RPOD-MONOMER,EG11402 // EG12127,4461077 // 4462782,4462732 // 4464203,-
TU00230,PM00523,208411,RPOD-MONOMER,EG11647,208621,209580,+
TU0-7681,PM0-8061,1634627,RPOD-MONOMER,G6820 // G6821 // EG11634,1632334 // 1632909 // 1633822,1632909 // 1633871 // 1634391,-
TU00262,PM00546,3705893,RPOD-MONOMER,EG12628 // EG12627 // EG12626 // EG12625 // EG10248,3699887 // 3700888 // 3701882 // 3702794 // 3704121,3700891 // 3701871 // 3702784 // 3703813 // 3705728,-
TU801,PM963,4391960,RPOD-MONOMER,EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757 // EG11758,4401323 // 4400061 // 4398695 // 4398311 // 4397275 // 4395435 // 4394088 // 4393608 // 4392089,4402327 // 4401320 // 4399975 // 4398619 // 4398225 // 4397282 // 4395425 // 4394069 // 4393636,+
TU0-8083,PM0-8461,3070879,RPOD-MONOMER,EG10703,3069481,3070644,-
TU0-12917,PM0-9646,416201,RPOD-MONOMER,EG11094 // EG10927,414974 // 411831,416176 // 414977,-
TU876,PM177,3514004,RPOD-MONOMER,EG11030 // EG11871 // M004 // EG10204,3510656 // 3511653 // 3512404 // 3513099,3511660 // 3512411 // 3513081 // 3513935,-
TU0-42499,PM00146,1686464,RPOD-MONOMER,EG10358 // EG10356,1683209 // 1684755,1684612 // 1686401,-
TU00314,PM0-8875,3405373,RPOD-MONOMER,G7693 // EG10685 // EG11497,3405397 // 3405629 // 3407092,3405639 // 3407080 // 3407973,+
TU0-42548,PM0-46298,1445333,RPOD-MONOMER,G6706,1444402,1445307,-
TU00352,PM00433,3208668,RPOD-MONOMER,EG10920 // EG10239 // EG10896,3208803 // 3209129 // 3211069,3209018 // 3210874 // 3212910,+
TU0-8354,PM0-8735,3690696,RPOD-MONOMER,EG12258 // EG12259,3687178 // 3688291,3688284 // 3690630,-
TU0-42573,PM0-46325,1338210,RPOD-MONOMER,EG12691 // G6637,1338582 // 1338267,1339751 // 1338575,+
TU00368,PM0-10539,3204446,RPOD-MONOMER,EG12393 // EG11168 // EG11169,3206046 // 3204485 // 3205393,3207509 // 3205396 // 3205998,+
TU0-14730,PM0-10330,812716,RPOD-MONOMER,EG11062,812749,814770,+
TU00006,PM00008,4476367,RPOD-MONOMER,EG10069,4475330,4476334,-
TU0-4525,PM00086,2821841,RPOD-MONOMER,EG12080 // EG10823,2820161 // 2820730,2820661 // 2821791,-
TU00022,PM00029,1397576,RPOD-MONOMER,EG10325,1396798,1397550,-
TU00038,PM00047,4244487,RPOD-MONOMER,EG10556 // EG10555 // EG10554,4240649 // 4241554 // 4243252,4241539 // 4243098 // 4244442,-
TU0-14818,PM0-10554,3070757,RPOD-MONOMER,EG10282 // EG10703,3068187 // 3069481,3069266 // 3070644,-
TU0-14253,PM0-9328,25014,RPOD-MONOMER,EG11081 // EG11080 // EG10548,26277 // 25826 // 25207,27227 // 26275 // 25701,+
TU00054,PM00515,1191909,RPOD-MONOMER,EG11314 // EG11345,1189839 // 1191213,1191209 // 1191854,-
TU0-1582,PM00453,3717963,RPOD-MONOMER,EG10166,3718072,3718284,+
TU00455,PM00602,3999217,RPOD-MONOMER,EG11463,3999449,4000399,+
TU00070,PM00099,812685,RPOD-MONOMER,EG11062,812749,814770,+
TU0-1821,PM0-2001,594796,RPOD-MONOMER,EG12367 // G6322 // G6321 // G6320,597937 // 596702 // 596354 // 594823,601080 // 597925 // 596686 // 596196,+
TU00473,PM00627,2685463,RPOD-MONOMER,EG10384,2685092,2685430,-
TU00086,PM00119,259382,RPOD-MONOMER,EG10729,258269,259324,-
TU0-2101,PM0-2281,890115,RPOD-MONOMER,G6447 // EG10852 // EG11261 // EG12842,892180 // 891190 // 890407 // 890136,892656 // 892092 // 891129 // 890423,+
TU00489,PM00644,236913,RPOD-MONOMER,EG30025,236931,237007,+
TU0-13513,PM0-9621,2183925,RPOD-MONOMER,G7137,2183546,2183818,-
TU0-2504,PM00550,1328842,RPOD-MONOMER,EG11013,1329072,1331669,+
TU00505,PM00660,4390336,RPOD-MONOMER,EG30038 // EG30040 // EG30041,4390383 // 4390495 // 4390606,4390458 // 4390570 // 4390681,+
TU00119,PM00161,3483975,RPOD-MONOMER,EG10164,3484142,3484774,+
TU0-1041,PM0-1201,4103808,RPOD-MONOMER,G7816,4103843,4104343,+
TU00521,PM00676,4604455,RPOD-MONOMER,EG30051 // EG30047 // EG30048,4604102 // 4604223 // 4604338,4604188 // 4604309 // 4604424,-
TU00135,PM00180,2931876,RPOD-MONOMER,EG10351 // EG10348,2929887 // 2931063,2931035 // 2931710,-
TU0-14373,PM0-9513,3453549,RPOD-MONOMER,EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702,3463565 // 3463104 // 3461944 // 3460946 // 3460366 // 3459996 // 3459490 // 3459045 // 3457839 // 3456361 // 3454399 // 3453600,3464242 // 3463565 // 3463107 // 3461929 // 3460953 // 3460373 // 3459999 // 3459482 // 3459035 // 3457842 // 3456351 // 3454415,+
TU162,PM222,3534661,RPOD-MONOMER,EG10269 // EG10672,3532538 // 3533887,3533890 // 3534606,-
TU0-6559,PM00388,1992903,RPOD-MONOMER,EG11063,1990898,1992730,-
TU3,PM00368,1317968,RPOD-MONOMER,EG11024 // EG11025 // EG11026,1314440 // 1315246 // 1316451,1315246 // 1316439 // 1317809,-
TU358,PM439,770507,RPOD-MONOMER,EG10174 // EG10173,772265 // 770681,773404 // 772249,+
TU00184,PM00257,3595778,RPOD-MONOMER,EG10536 // EG10537 // EG10541 // EG10538 // EG10540,3590747 // 3591462 // 3592226 // 3593500 // 3594474,3591460 // 3592229 // 3593503 // 3594426 // 3595583,-
TU0-36431,PM0-36209,3340032,RPOD-MONOMER,EG11680 // G7665 // G7664 // G7663,3341966 // 3341402 // 3340858 // 3340295,3342691 // 3341959 // 3341433 // 3340861,+
TU00200,PM00282,17458,RPOD-MONOMER,EG11078 // EG10652,18715 // 17489,19620 // 18655,+
TU00216,PM00039,2350473,RPOD-MONOMER,EG10399 // EG10401,2347957 // 2349038,2349033 // 2350396,-
TU0-7163,PM0-7506,3806539,RPOD-MONOMER,EG10520,3806563,3807840,+
TU0-41673,PM0-44753,1168242,RPOD-MONOMER,G6570,1168296,1168553,+
TU00233,PM624,484922,RPOD-MONOMER,EG11703 // EG11704,483650 // 480478,484843 // 483627,-
TU0-7741,PM0-9849,1584688,RPOD-MONOMER,G6791,1582231,1584510,-
TU00265,PM0-2741,3150036,RPOD-MONOMER,EG10272 // EG10271,3148840 // 3149272,3149265 // 3150006,-
TU0-42459,PM0-46142,2817211,RPOD-MONOMER,EG11447,2816983,2817168,-
TU0-14562,PM0-9865,4395123,RPOD-MONOMER,EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281,4401323 // 4400061 // 4398695 // 4398311 // 4397275 // 4395435,4402327 // 4401320 // 4399975 // 4398619 // 4398225 // 4397282,+
TU841,PM1001,2229841,RPOD-MONOMER,EG10137,2229866,2230750,+
TU00301,PM521,794285,RPOD-MONOMER,EG12427 // EG10002 // EG10152,794312 // 795085 // 795777,795085 // 795774 // 796835,+
TU0-8795,PM0-46300,1445516,RPOD-MONOMER,G7961,1445543,1447042,+
TU0-13331,PM0-9327,1647621,RPOD-MONOMER,G6837 // G6836 // EG11304 // EG11303 // EG10227,1649536 // 1648905 // 1648102 // 1647818 // 1647633,1650732 // 1649561 // 1649022 // 1648009 // 1647821,+
TU0-8321,PM0-8701,3811875,RPOD-MONOMER,EG11191 // EG10251,3812517 // 3811955,3813113 // 3812410,+
TU00336,PM404,3376694,RPOD-MONOMER,EG10908 // EG10874,3375837 // 3376245,3376229 // 3376673,-
TU0-42552,PM0-46302,1449433,RPOD-MONOMER,EG13139,1447100,1449373,-
TU0-13399,PM0-10438,1863748,RPOD-MONOMER,G6967,1862806,1863660,-
TU0-4421,PM0-4621,703063,RPOD-MONOMER,EG10635,703167,705113,+
TU0-14738,PM0-10354,4390759,RPOD-MONOMER,G0-10642,4390915,4390968,+
TU00009,PM00011,784814,RPOD-MONOMER,EG10079,784856,785908,+
TU0-4604,PM0-4844,1940658,RPOD-MONOMER,EG12368 // G7018,1941438 // 1940686,1942223 // 1941441,+
TU0-1422,PM0-1582,103561,RPOD-MONOMER,EG10347 // EG10339,105305 // 103982,106456 // 105244,+
TU00404,PM00555,156214,RPOD-MONOMER,EG11972 // EG11973,152829 // 155461,155426 // 156201,-
TU0-4903,PM0-5143,3654983,RPOD-MONOMER,EG11495,3655018,3655590,+
TU0-14797,PM0-10504,1620938,RPOD-MONOMER,G0-10671,1620841,1620938,-
TU00425,PM00575,1194184,RPOD-MONOMER,EG10489,1194346,1195596,+
TU00442,PM00590,2866140,RPOD-MONOMER,EG10510,2864581,2865573,-
TU00057,PM00079,2693611,RPOD-MONOMER,EG10797,2689678,2693565,-
TU0-1681,PM00372,1733347,RPOD-MONOMER,EG10954,1733402,1733983,+
TU0-14286,PM0-9408,3245570,RPOD-MONOMER,G7610 // G7609,3246461 // 3245795,3246844 // 3246457,+
TU00459,PM00613,2808769,RPOD-MONOMER,EG10603 // EG11354 // EG11439,2808792 // 2809449 // 2810638,2809322 // 2810621 // 2812176,+
TU00073,PM00135,2307467,RPOD-MONOMER,EG10037,2306713,2307363,-
